OID_,ID,FAJA,NRO,NOMBRE,CAP,HT,GlobalID,coord_X,coord_Y,PADRINO,LONG,LATI,Field
29,F1 28 CU,PARCELA 1,28,CURUPAU,117,23,,751399.456799999810755,8029893.569699999876320,,-60.628388944075262,-17.804124792341142,
30,F1 29 CU,PARCELA 1,29,CURUPAU,115,23,,751395.117899999953806,8029902.781100000254810,,-60.628430949710037,-17.804042100068266,
31,F1 30 MO,PARCELA 1,30,MOMOQUI,98,21,,751395.553899999707937,8029895.584800000302494,,-60.628425980082426,-17.804107040254785,
32,F1 31 CU,PARCELA 1,31,CURUPAU,130,25,,751391.094499999657273,8029895.565999999642372,,-60.628468019788045,-17.804107720028941,
33,F1 32 CU,PARCELA 1,32,CURUPAU,134,28,,751390.985100000165403,8029901.919900000095367,,-60.628469809740373,-17.804050350234629,
34,F1 33 CU,PARCELA 1,33,CURUPAU,180,35,,751402.295900000259280,8029912.051500000059605,,-60.628364384393201,-17.803957557836881,
35,F1 34 CU,PARCELA 1,34,CURUPAU,124,25,,751420.294700000435114,8029930.419200000353158,,-60.628196890062220,-17.803789619963059,
36,F1 35 CU,PARCELA 1,35,CURUPAU,135,26,,751430.408200000412762,8029921.798000000417233,,-60.628100513675051,-17.803866321583683,
37,F1 36 MO,PARCELA 1,36,MOMOQUI,98,18,,751427.564600000157952,8029932.414400000125170,,-60.628128589883097,-17.803770769748752,
38,F1 37 MO,PARCELA 1,37,MOMOQUI,128,27,,751429.166799999773502,8029930.599000000394881,,-60.628113268070685,-17.803786981435106,
39,F1 39 CU,PARCELA 1,38,CURUPAU,137,35,,751435.893799999728799,8029933.657100000418723,,-60.628050213114470,-17.803758594203195,
40,F1 39 MO,PARCELA 1,39,MOMOQUI,124,32,,751427.826200000010431,8029938.578700000420213,,-60.628126859614682,-17.803715069818946,
41,F1 40 MO,PARCELA 1,40,MOMOQUI,100,30,,751412.402700000442564,8029946.054499999620020,,-60.628273160177336,-17.803649319625293,
42,F1 41 CU,PARCELA 1,41,CURUPAU,170,33,,751415.329699999652803,8029936.048100000247359,,-60.628244370631663,-17.803739353023118,
43,F1 42 CU,PARCELA 1,42,CURUPAU,120,28,,751416.875099999830127,8029930.677299999631941,,-60.628229159828088,-17.803787680160550,
44,F1 43 CU,PARCELA 1,43,CURUPAU,194,36,,751406.000099999830127,8029929.119800000451505,,-60.628331500078900,-17.803802989763689,
45,F1 44 CH,PARCELA 1,44,CUCHI,94,24,,751407.295199999585748,8029940.928199999965727,,-60.628320700074426,-17.803696199558523,
46,F1 45 CU,PARCELA 1,45,CURUPAU,120,26,,751402.892099999822676,8029939.077200000174344,,-60.628361990159270,-17.803713419570400,
47,F1 46 MO,PARCELA 1,46,MOMOQUI,80,25,,751407.765700000338256,8029944.071299999952316,,-60.628316639599575,-17.803667760298836,
48,F1 47 MO,PARCELA 1,47,MOMOQUI,92,20,,751412.554700000211596,8029946.074699999764562,,-60.628271729580291,-17.803649119814331,
49,F1 48 CE,PARCELA 1,48,CEDRO,102,22,,751421.894199999980628,8029948.420099999755621,,-60.628183959711606,-17.803626870257773,
50,F1 49 CE,PARCELA 1,49,CEDRO,85,15,,751413.036399999633431,8029953.377799999900162,,-60.628268060192951,-17.803583110163686,
51,F1 50 MO,PARCELA 1,50,MOMOQUI,144,32,,751394.701600000262260,8029924.100700000301003,,-60.628437419721969,-17.803849609584962,
52,F1 51 CU,PARCELA 1,51,CURUPAU,121,34,,751394.462299999780953,8029952.782599999569356,,-60.628443099926280,-17.803590609649607,
53,F1 52 CU,PARCELA 1,52,CURUPAU,170,38,,751394.712899999693036,8029961.009899999946356,,-60.628441719544796,-17.803516279938414,
54,F1 53 MO,PARCELA 1,53,MOMOQUI,59,13,,751405.467600000090897,8029983.592000000178814,,-60.628343023643538,-17.803311110234553,
55,F1 54  MO,PARCELA 1,54,MOMOQUI,133,25,,751425.828499999828637,8029991.531100000254810,,-60.628152015662558,-17.803237083309504,
56,F1 55 AL,PARCELA 1,55,ALCORNOQUE,85,14,,751433.432500000111759,8029992.636599999852479,,-60.628080459681485,-17.803226229803222,
